序号,代码,名称,最新价 2026.05.08,涨跌幅(%) 2026.05.08,市净率PB(LF) 2026.05.08,市场码,市场名,市盈率(TTM) 2026.05.08,市盈率估值状态 2026.05.08,指数小类,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额 2026.05.08,总市值(元) 2026.05.08
353,930901,动漫游戏,1990.37,1.12,3.58,2,CSI,35.27,估值中等,中证指数,22.04,2019.96,1971.77,0.00,1.07,9.37亿,149.38亿,4457.83亿
354,000932,800消费,14116.95,-0.69,3.57,1,SH,23.30,估值较低,上证指数,-97.41,14247.77,14100.56,0.00,0.69,8.83亿,231.11亿,4.44万亿
355,399932,800消费,14116.95,-0.69,3.57,0,SZ,23.30,估值较低,深证指数,-97.41,14247.77,14100.56,0.00,0.69,8.83亿,231.11亿,4.44万亿
356,930653,CS食品饮,14148.42,-0.39,3.57,2,CSI,23.82,估值较低,中证指数,-55.29,14212.86,14125.50,0.00,0.84,15.61亿,312.83亿,4.39万亿
357,399704,深证上游,8846.24,-0.55,3.56,0,SZ,37.57,估值较低,深证指数,-48.74,8963.33,8755.04,0.00,1.06,35.07亿,1021.56亿,2.57万亿
358,399624,中创400,3078.54,0.11,3.55,0,SZ,54.29,估值中等,深证指数,3.30,3085.96,3051.38,0.00,1.07,180.55亿,4780.00亿,10.70万亿
359,H30040,AMAC社会,16019.09,0.48,3.55,2,CSI,61.25,估值中等,中证指数,75.89,16240.61,15935.69,0.00,1.22,7.96亿,74.93亿,2526.88亿
360,000990,全指消费,11818.17,-0.57,3.55,1,SH,23.84,估值较低,上证指数,-68.22,11912.11,11804.56,0.00,0.70,9.61亿,252.12亿,4.67万亿
361,930821,中证VR,3670.16,0.49,3.54,2,CSI,63.24,估值中等,中证指数,17.93,3671.73,3610.73,0.00,1.11,44.72亿,1113.78亿,3.15万亿
362,932217,制药指数,2079.01,-1.20,3.54,2,CSI,33.48,估值较低,中证指数,-25.31,2107.37,2076.32,0.00,0.87,6.21亿,221.70亿,2.44万亿
363,931787,港股创新药港币,1326.57,-1.81,3.54,2,CSI,34.85,估值较低,中证指数,-24.47,1345.98,1318.30,0.00,0.78,3.74亿,85.44亿,2.43万亿
364,931250,港股通创新药,1061.15,-1.80,3.54,2,CSI,34.85,估值较低,中证指数,-19.48,1076.46,1054.36,0.00,0.78,3.74亿,85.44亿,2.43万亿
365,801890,机械设备(申万),2507.98,0.85,3.54,62,SWI,48.06,估值中等,申万一级行业,21.03,2508.59,2465.24,0.00,1.16,103.35亿,2453.19亿,6.77万亿
366,399653,深证龙头,3234.16,-0.52,3.53,0,SZ,27.53,估值较低,深证指数,-16.84,3256.09,3226.87,0.00,0.98,34.08亿,1235.19亿,9.40万亿
367,970067,深证专利,5539.64,-0.29,3.53,0,SZ,26.99,估值较低,深证指数,-15.97,5557.86,5495.56,0.00,1.10,43.61亿,1419.60亿,7.66万亿
368,470067,深证专利R,6808.08,-0.29,3.53,0,SZ,26.99,估值较低,深证指数,-19.62,6830.47,6753.90,0.00,1.10,43.61亿,1419.60亿,7.66万亿
369,H30060,AMAC金属,7167.77,0.39,3.52,2,CSI,61.93,估值中等,中证指数,27.66,7189.19,7074.98,0.00,1.09,28.22亿,592.56亿,1.28万亿
370,399258,绿色低碳,4807.11,-1.25,3.52,0,SZ,27.68,估值较低,深证指数,-60.81,4881.04,4803.82,0.00,0.99,36.24亿,1479.15亿,6.98万亿
371,000132,上证100,6368.50,0.43,3.51,1,SH,24.00,估值中等,上证指数,27.56,6370.75,6280.68,0.00,0.94,15.29亿,621.31亿,2.94万亿
372,399959,军工指数,1925.42,3.07,3.50,0,SZ,60.10,估值中等,深证指数,57.37,1928.86,1854.18,0.00,1.41,13.23亿,475.97亿,1.79万亿
373,931404,SHS品牌消费50人民币,2498.15,-0.05,3.49,2,CSI,17.22,估值较低,中证指数,-1.24,2500.17,2484.91,0.00,0.99,8.56亿,511.48亿,10.11万亿
374,930838,CS高股息,7622.52,0.43,3.48,2,CSI,19.08,估值较低,中证指数,32.67,7635.27,7571.06,0.00,0.87,22.55亿,590.93亿,4.10万亿
375,H50039,上证TMT,3108.30,-0.09,3.47,2,SH,39.65,估值较低,中证指数,-2.82,3113.53,3057.72,0.00,1.06,32.06亿,2246.51亿,10.72万亿
376,H50017,沪信息业,7021.19,-1.63,3.47,2,SH,39.69,估值较低,中证指数,-116.22,7060.52,6948.94,0.00,1.05,32.33亿,2249.64亿,10.70万亿
377,970047,数字文化,1074.99,0.60,3.46,0,SZ,61.00,估值中等,深证指数,6.38,1087.66,1067.55,0.00,1.17,26.37亿,350.19亿,9680.19亿
378,470047,数字文化R,1155.81,0.60,3.46,0,SZ,61.00,估值中等,深证指数,6.86,1169.43,1147.81,0.00,1.17,26.37亿,350.19亿,9680.19亿
379,931393,湖北指数,3726.24,2.12,3.45,2,CSI,94.20,估值中等,中证指数,77.43,3726.43,3611.54,0.00,1.02,36.11亿,1148.36亿,2.45万亿
380,H50006,180医药,5363.19,-1.75,3.44,2,SH,29.00,估值较低,中证指数,-95.80,5456.21,5356.42,0.00,0.98,1.87亿,127.19亿,1.18万亿
381,931140,医药50,10131.38,-0.96,3.44,2,CSI,23.83,估值较低,中证指数,-98.71,10230.88,10122.39,0.00,0.81,6.10亿,274.29亿,2.37万亿
382,931406,5G50,2789.71,0.78,3.43,2,CSI,32.84,估值中等,中证指数,21.47,2795.05,2721.82,0.00,1.12,36.10亿,2656.94亿,10.33万亿
383,H11054,装备产业,3313.88,-0.91,3.41,2,CSI,39.02,估值较低,中证指数,-30.30,3332.96,3295.13,0.00,1.07,66.82亿,2480.96亿,10.49万亿
384,930725,CS车联网,1452.63,0.21,3.40,2,CSI,28.83,估值较低,中证指数,3.01,1454.80,1440.89,0.00,0.97,11.49亿,470.21亿,4.13万亿
385,H30463,沪港深500医药人民币,7611.52,-1.17,3.39,2,CSI,35.86,估值较低,中证指数,-90.40,7698.27,7586.50,0.00,0.84,7.76亿,273.35亿,3.56万亿
386,399265,创新药械,972.06,-0.16,3.37,0,SZ,202.61,估值较低,深证指数,-1.54,982.18,971.15,0.00,0.93,6.58亿,179.03亿,8815.68亿
387,980043,工业金属,3564.04,0.22,3.37,0,SZ,19.30,估值中等,深证指数,7.94,3580.55,3489.33,0.00,1.18,45.78亿,911.43亿,3.58万亿
388,480043,工业金属R,4145.35,0.22,3.37,0,SZ,19.30,估值中等,深证指数,9.24,4164.55,4058.46,0.00,1.18,45.78亿,911.43亿,3.58万亿
389,931590,500成长创新,30540.18,-0.40,3.36,2,CSI,29.38,估值较低,中证指数,-122.32,30660.68,30335.54,0.00,1.01,29.19亿,1047.70亿,4.54万亿
390,931166,医药健康100,3967.07,-0.91,3.35,2,CSI,26.13,估值较低,中证指数,-36.34,3999.62,3962.14,0.00,0.86,11.85亿,370.36亿,3.10万亿
391,931522,央企新动能,2008.98,1.22,3.35,2,CSI,43.71,估值中等,中证指数,24.13,2014.11,1966.64,0.00,1.22,17.73亿,493.43亿,2.21万亿
392,000121,医药主题,7754.24,-0.53,3.34,1,SH,32.55,估值较低,上证指数,-41.69,7827.91,7734.34,0.00,0.91,5.63亿,247.18亿,2.47万亿
393,931068,消费龙头,11739.63,0.11,3.32,2,CSI,17.85,估值中等,中证指数,12.72,11775.49,11717.76,0.00,0.79,10.04亿,349.48亿,5.22万亿
394,399275,创医药,2492.65,-0.01,3.32,0,SZ,100.81,估值较低,深证指数,-0.29,2516.91,2489.35,0.00,0.94,8.98亿,214.33亿,1.12万亿
395,000812,细分机械,8524.82,-1.81,3.32,1,CSI,37.65,估值较低,上证指数,-157.45,8641.41,8514.36,0.00,1.05,39.78亿,1356.13亿,7.06万亿
396,399804,中证体育,2063.83,0.45,3.30,0,SZ,34.46,估值中等,深证指数,9.27,2079.28,2058.72,0.00,0.98,10.38亿,225.50亿,6357.63亿
397,931230,汽车零部件,1276.98,1.84,3.30,2,CSI,32.02,估值中等,中证指数,23.09,1283.45,1245.58,0.00,1.24,30.07亿,1000.62亿,2.65万亿
398,000075,医药等权,6842.48,-0.81,3.30,1,SH,31.54,估值较低,上证指数,-56.17,6920.34,6831.30,0.00,0.86,5.36亿,241.15亿,2.53万亿
399,000037,上证医药,6254.07,-1.25,3.30,1,SH,31.54,估值较低,上证指数,-78.97,6341.68,6247.05,0.00,0.86,5.36亿,241.15亿,2.53万亿
400,399808,中证新能,3247.25,-1.66,3.29,0,SZ,45.75,估值较低,深证指数,-54.84,3318.78,3241.84,0.00,1.00,58.80亿,1866.84亿,7.29万亿
401,399654,深证文化,3060.62,-0.25,3.29,0,SZ,73.68,估值较低,深证指数,-7.64,3109.41,3056.84,0.00,1.09,45.65亿,719.51亿,1.75万亿
402,399658,中小绩效,5371.62,-0.10,3.29,0,SZ,32.94,估值较低,深证指数,-5.34,5394.14,5338.36,0.00,0.95,58.55亿,2232.76亿,9.44万亿
403,399634,中小等权,4931.13,-0.08,3.29,0,SZ,32.94,估值较低,深证指数,-4.07,4938.36,4884.70,0.00,0.95,58.55亿,2232.76亿,9.44万亿
404,399333,中小100R,11787.38,-0.22,3.29,0,SZ,32.94,估值较低,深证指数,-26.30,11811.29,11679.65,0.00,0.95,58.55亿,2232.76亿,9.44万亿
405,399005,中小100,9650.52,-0.24,3.29,0,SZ,32.94,估值较低,深证指数,-22.86,9670.10,9562.32,0.00,0.95,58.55亿,2232.76亿,9.44万亿
406,399277,公共健康,2906.23,-0.28,3.28,0,SZ,37.30,估值较低,深证指数,-8.04,2944.82,2903.43,0.00,1.21,14.89亿,387.47亿,1.93万亿
407,000851,百发100,23460.01,0.13,3.28,1,SH,151.69,估值较低,上证指数,31.11,23481.90,23240.46,0.00,1.00,37.24亿,1328.58亿,2.77万亿
408,H30372,中证安全,2095.82,-0.03,3.28,2,CSI,51.91,估值中等,中证指数,-0.64,2104.00,2077.63,0.00,1.10,58.48亿,1138.39亿,2.80万亿
409,H30059,AMAC有色,6107.04,-0.45,3.28,2,CSI,28.32,估值较低,中证指数,-27.36,6168.47,6029.90,0.00,1.06,52.77亿,1316.31亿,3.43万亿
410,000109,380医药,9523.00,-0.40,3.27,1,SH,33.97,估值较低,上证指数,-38.38,9584.20,9500.87,0.00,0.85,3.31亿,97.63亿,1.14万亿
411,399670,深周期50,4900.65,-0.52,3.27,0,SZ,41.82,估值较低,深证指数,-25.53,4943.12,4872.42,0.00,0.94,46.52亿,1754.13亿,9.13万亿
412,932081,全指消费行业,12450.23,-0.38,3.26,2,CSI,27.94,估值较低,中证指数,-46.97,12523.63,12437.03,0.00,0.81,33.48亿,483.18亿,5.68万亿
413,930967,港股通信息C港元,5105.14,-0.44,3.26,2,CSI,37.91,估值较低,中证指数,-22.68,5116.08,5031.06,0.00,1.04,15.39亿,398.94亿,3.72万亿
414,399278,长江100,2428.40,-0.69,3.25,0,SZ,32.66,估值较低,深证指数,-16.93,2440.75,2410.39,0.00,0.94,58.08亿,2503.69亿,9.08万亿
415,932222,中证2000净收益,3980.64,1.00,3.25,2,CSI,228.65,估值中等,中证指数,39.50,3984.73,3917.45,0.00,1.07,382.34亿,6636.95亿,14.05万亿
416,932000,中证2000,3689.55,1.00,3.25,2,CSI,228.65,估值中等,中证指数,36.43,3693.34,3630.98,0.00,1.07,382.34亿,6636.95亿,14.05万亿
417,399989,中证医疗,6703.62,-0.43,3.25,0,SZ,29.57,估值较低,深证指数,-28.75,6765.45,6700.19,0.00,1.16,10.92亿,277.63亿,1.64万亿
418,H30038,AMAC科技,7548.90,-1.88,3.25,2,CSI,36.87,估值较低,中证指数,-144.77,7643.27,7514.29,0.00,0.97,10.22亿,279.50亿,1.20万亿
419,932266,国企战略新兴,2575.32,-0.80,3.25,2,CSI,68.03,估值较低,中证指数,-20.81,2586.35,2549.91,0.00,0.97,24.34亿,772.99亿,2.96万亿
420,000119,380R成长,4973.49,0.14,3.24,1,SH,41.42,估值中等,上证指数,6.90,4980.31,4920.02,0.00,1.17,99.41亿,2761.19亿,9.64万亿
421,950333,智选创新价值,2727.41,0.23,3.22,2,SH,-360.79,估值较低,中证指数,6.33,2734.28,2698.89,0.00,1.04,15.11亿,405.30亿,1.44万亿
422,931139,CS消费50,14831.58,-0.14,3.21,2,CSI,18.12,估值较低,中证指数,-21.40,14908.38,14816.82,0.00,0.67,7.71亿,282.37亿,5.26万亿
423,000141,380动态,4488.76,-0.05,3.20,1,SH,64.67,估值较低,上证指数,-2.22,4495.89,4444.39,0.00,1.07,67.45亿,2109.89亿,6.91万亿
424,970082,创业板医疗,3565.03,0.10,3.20,0,SZ,39.82,估值中等,深证指数,3.60,3595.28,3561.11,0.00,0.97,5.83亿,152.17亿,8862.48亿
425,930928,CR新动能,2445.12,-0.95,3.20,2,CSI,29.67,估值较低,中证指数,-23.39,2462.25,2436.86,0.00,1.01,77.54亿,3343.60亿,19.87万亿
426,399972,300深市,6371.67,-0.70,3.19,0,SZ,31.82,估值较低,深证指数,-44.63,6413.21,6346.14,0.00,0.99,76.68亿,3363.07亿,18.56万亿
427,H50038,沪智慧城,3246.00,0.46,3.19,2,SH,43.89,估值中等,中证指数,14.71,3249.09,3196.16,0.00,1.10,27.80亿,686.06亿,2.42万亿
428,970063,深证回购,3693.75,-0.70,3.18,0,SZ,23.17,估值较低,深证指数,-25.86,3704.55,3672.32,0.00,0.97,19.14亿,457.75亿,4.46万亿
429,470063,深证回购R,4126.29,-0.70,3.18,0,SZ,23.17,估值较低,深证指数,-28.89,4138.35,4102.36,0.00,0.97,19.14亿,457.75亿,4.46万亿
430,399248,文化指数,899.99,-0.70,3.17,0,SZ,-163.62,估值中等,深证指数,-6.35,918.60,898.55,0.00,0.98,9.00亿,101.59亿,2292.87亿
431,399656,100绩效,6735.20,-0.33,3.16,0,SZ,31.23,估值较低,深证指数,-22.37,6756.49,6704.31,0.00,0.99,66.64亿,3097.52亿,17.98万亿
432,399632,深100EW,5606.36,-0.36,3.16,0,SZ,31.23,估值较低,深证指数,-20.43,5623.54,5579.35,0.00,0.99,66.64亿,3097.52亿,17.98万亿
433,399330,深证100,6543.77,-0.65,3.16,0,SZ,31.23,估值较低,深证指数,-42.97,6586.39,6518.41,0.00,0.99,66.64亿,3097.52亿,17.98万亿
434,399004,深证100R,9339.15,-0.64,3.16,0,SZ,31.23,估值较低,深证指数,-60.59,9399.98,9302.96,0.00,0.99,66.64亿,3097.52亿,17.98万亿
435,000814,细分医药,8238.00,-1.61,3.15,1,SH,35.43,估值较低,上证指数,-135.07,8367.14,8230.87,0.00,0.92,6.58亿,272.30亿,2.93万亿
436,399107,深证A指,3009.42,0.12,3.15,0,SZ,52.53,估值中等,深证指数,3.68,3013.99,2984.89,0.00,1.07,825.97亿,1.72万亿,51.15万亿
437,399106,深证综指,2875.75,0.12,3.15,0,SZ,52.54,估值中等,深证指数,3.51,2880.10,2852.33,0.00,1.07,826.22亿,1.72万亿,51.15万亿
438,931573,港股通科技,3133.97,-0.84,3.15,2,CSI,25.09,估值较低,中证指数,-26.60,3144.26,3105.35,0.00,0.94,18.66亿,717.78亿,14.56万亿
439,931167,先进制造100,8221.21,-0.51,3.14,2,CSI,18.74,估值较低,中证指数,-41.98,8250.60,8194.53,0.00,0.89,15.54亿,657.72亿,5.20万亿
440,000977,内地低碳,2291.95,-1.37,3.14,1,SH,35.93,估值较低,上证指数,-31.92,2329.49,2289.54,0.00,1.01,35.98亿,1167.81亿,6.84万亿
441,H30050,AMAC印刷,2331.64,1.75,3.13,2,CSI,-119.73,估值较低,中证指数,40.09,2332.39,2279.65,0.00,0.90,1.49亿,18.40亿,546.63亿
442,399100,新指数,13533.30,0.03,3.13,0,SZ,49.64,估值中等,深证指数,4.41,13560.19,13436.04,0.00,1.06,786.29亿,1.70万亿,50.41万亿
443,930614,环保50,2591.74,-1.32,3.13,2,CSI,35.50,估值较低,中证指数,-34.56,2633.96,2583.31,0.00,1.01,35.92亿,1165.17亿,6.83万亿
444,970041,创新消费,2601.04,-0.60,3.13,0,SZ,62.75,估值较低,深证指数,-15.71,2647.29,2598.94,0.00,1.28,27.89亿,435.30亿,1.14万亿
445,470041,创新消费R,2830.07,-0.60,3.13,0,SZ,62.75,估值较低,深证指数,-17.09,2880.39,2827.79,0.00,1.28,27.89亿,435.30亿,1.14万亿
446,931142,东证竞争,2041.71,-0.20,3.12,2,CSI,18.47,估值较低,中证指数,-4.02,2047.13,2029.75,0.00,0.85,45.64亿,2732.78亿,20.84万亿
447,932046,建行科技(长三角),2290.93,-0.41,3.10,2,CSI,31.19,估值较低,中证指数,-9.43,2305.58,2269.00,0.00,1.01,19.48亿,951.47亿,3.55万亿
448,000117,380成长,4638.11,0.18,3.10,1,SH,25.81,估值中等,上证指数,8.26,4640.88,4584.44,0.00,1.28,34.85亿,862.29亿,3.63万亿
449,000913,300医药,7906.70,-1.13,3.10,1,SH,32.96,估值较低,上证指数,-90.13,7999.31,7899.13,0.00,0.84,4.66亿,202.81亿,2.14万亿
450,399913,300医药,7906.70,-1.13,3.10,0,SZ,32.96,估值较低,深证指数,-90.13,7999.31,7899.13,0.00,0.84,4.66亿,202.81亿,2.14万亿
451,931456,中国教育人民币,1139.62,0.21,3.09,2,CSI,42.19,估值较低,中证指数,2.38,1144.28,1132.53,0.00,1.28,8.32亿,145.82亿,5124.99亿
452,970032,深指ESG增强,1767.18,-0.33,3.08,0,SZ,25.22,估值较低,深证指数,-5.88,1774.10,1757.36,0.00,0.99,102.84亿,4189.77亿,19.87万亿
453,470032,深指ESG增强R,2017.40,-0.33,3.08,0,SZ,25.22,估值较低,深证指数,-6.62,2025.31,2006.20,0.00,0.99,102.84亿,4189.77亿,19.87万亿
454,399015,中小创新,3294.82,0.60,3.07,0,SZ,69.99,估值中等,深证指数,19.71,3302.41,3257.40,0.00,1.10,153.04亿,2994.93亿,6.58万亿
455,399101,中小综指,16486.43,0.31,3.06,0,SZ,45.25,估值中等,深证指数,50.65,16507.08,16334.34,0.00,1.06,357.57亿,6206.77亿,18.07万亿
456,399657,300绩效,7906.04,-0.24,3.05,0,SZ,35.02,估值较低,深证指数,-19.17,7932.74,7859.13,0.00,1.00,181.98亿,6305.27亿,27.06万亿
457,399633,深300EW,6959.06,-0.24,3.05,0,SZ,35.02,估值较低,深证指数,-16.51,6980.88,6906.93,0.00,1.00,181.98亿,6305.27亿,27.06万亿
458,399344,深证300R,8594.03,-0.52,3.05,0,SZ,35.02,估值较低,深证指数,-45.11,8636.73,8542.11,0.00,1.00,181.98亿,6305.27亿,27.06万亿
459,399007,深证300,6492.28,-0.53,3.05,0,SZ,35.02,估值较低,深证指数,-34.48,6524.54,6453.06,0.00,1.00,181.98亿,6305.27亿,27.06万亿
460,399008,中小300,1909.84,0.06,3.05,0,SZ,35.15,估值较低,深证指数,1.15,1911.69,1892.15,0.00,1.04,152.55亿,3842.71亿,13.34万亿
461,399011,深证1000,7498.18,-0.31,3.05,0,SZ,40.13,估值较低,深证指数,-23.30,7528.90,7451.69,0.00,1.06,434.15亿,1.17万亿,38.86万亿
462,399814,大农业,1212.44,-0.68,3.05,0,SZ,28.24,估值较低,深证指数,-8.28,1225.39,1205.93,0.00,0.72,15.05亿,287.37亿,2.53万亿
463,H50055,沪大农业,1595.62,0.01,3.05,2,SH,28.74,估值较低,中证指数,0.18,1599.55,1581.04,0.00,0.80,14.70亿,205.68亿,1.32万亿
464,000827,中证环保,2111.00,-1.28,3.05,1,SH,38.16,估值较低,上证指数,-27.35,2145.34,2107.50,0.00,1.01,65.83亿,1746.80亿,8.13万亿
465,399659,深成指EW,5342.58,-0.15,3.04,0,SZ,36.92,估值较低,深证指数,-8.14,5360.02,5304.10,0.00,1.04,281.11亿,8716.42亿,32.28万亿
466,399002,深成指R,20944.88,-0.49,3.04,0,SZ,36.92,估值较低,深证指数,-103.60,21046.61,20814.40,0.00,1.07,576.73亿,9294.69亿,32.28万亿
467,399001,深证成指,15563.80,-0.50,3.04,0,SZ,36.92,估值较低,深证指数,-78.09,15639.39,15466.84,0.00,1.07,826.22亿,1.72万亿,32.28万亿
468,399010,深证700,10205.79,0.18,3.04,0,SZ,60.28,估值中等,深证指数,18.13,10230.80,10115.39,0.00,1.11,252.17亿,5406.08亿,11.80万亿
469,000808,医药生物,8145.50,-1.08,3.04,1,SH,34.56,估值较低,上证指数,-88.63,8238.66,8138.98,0.00,0.98,17.13亿,477.95亿,4.23万亿
470,931695,成渝经济圈,2497.90,-0.75,3.03,2,CSI,25.42,估值较低,中证指数,-18.79,2508.63,2491.33,0.00,0.95,30.88亿,907.30亿,5.63万亿
471,931529,国企数字经济,2844.66,-1.05,3.03,2,CSI,37.70,估值较低,中证指数,-30.30,2852.65,2807.16,0.00,1.17,33.64亿,1764.11亿,8.86万亿
472,399623,中小基础,10393.54,0.09,3.03,0,SZ,35.99,估值中等,深证指数,9.35,10404.55,10300.32,0.00,1.04,174.10亿,4212.20亿,14.13万亿
473,000978,医药100,10331.78,-0.53,3.02,1,SH,33.25,估值较低,上证指数,-54.85,10411.21,10314.80,0.00,0.97,17.18亿,485.52亿,4.31万亿
474,931580,SHS游戏传媒,755.35,0.47,3.01,2,CSI,18.98,估值较低,中证指数,3.53,761.08,749.89,0.00,1.15,38.56亿,698.52亿,5.28万亿
475,931574,港股科技,1689.61,-0.38,3.01,2,CSI,25.98,估值较低,中证指数,-6.40,1695.15,1672.32,0.00,0.95,18.85亿,772.74亿,15.56万亿
476,000692,科创新能,1374.49,-0.93,3.00,1,SH,-54.02,估值中等,上证指数,-12.90,1396.60,1364.02,0.00,1.08,10.04亿,269.03亿,8139.01亿
477,H30054,AMAC医药,4471.54,-0.37,3.00,2,CSI,58.85,估值较低,中证指数,-16.76,4499.21,4458.89,0.00,1.00,38.29亿,669.97亿,4.39万亿
478,931663,SHS消费龙头人民币,1879.51,-0.14,2.99,2,CSI,21.16,估值较低,中证指数,-2.61,1883.78,1868.54,0.00,0.86,10.95亿,573.19亿,10.03万亿
479,932085,全指通信行业,13090.09,1.02,2.99,2,CSI,37.27,估值中等,中证指数,132.71,13139.04,12824.67,0.00,1.15,103.80亿,3142.95亿,9.50万亿
480,000933,800医卫,7958.90,-0.97,2.99,1,SH,32.47,估值较低,上证指数,-77.65,8043.30,7952.40,0.00,0.99,14.10亿,410.11亿,3.84万亿
481,399933,800医卫,7958.90,-0.97,2.99,0,SZ,32.47,估值较低,深证指数,-77.65,8043.30,7952.40,0.00,0.99,14.10亿,410.11亿,3.84万亿
482,931697,消费50策略,8133.47,0.03,2.98,2,CSI,20.27,估值较低,中证指数,2.05,8156.34,8116.83,0.00,0.98,27.65亿,702.87亿,7.00万亿
483,000161,沪中国造,1935.46,0.19,2.98,1,SH,52.79,估值中等,上证指数,3.59,1939.83,1920.83,0.00,1.12,59.11亿,1776.98亿,7.00万亿
484,931357,优选消费50,2695.20,0.23,2.98,2,CSI,18.72,估值较低,中证指数,6.14,2703.17,2679.60,0.00,0.87,11.97亿,619.98亿,12.86万亿
485,000069,消费80,4567.27,-0.34,2.97,1,SH,23.70,估值较低,上证指数,-15.65,4586.04,4562.83,0.00,0.91,15.26亿,639.98亿,6.91万亿
486,000991,全指医药,8573.26,-0.93,2.97,1,SH,32.77,估值较低,上证指数,-80.71,8664.79,8565.87,0.00,0.96,18.68亿,517.76亿,4.56万亿
487,H30178,医疗保健,13721.88,0.91,2.96,2,CSI,46.82,估值中等,中证指数,124.39,13788.49,13619.54,0.00,1.18,14.97亿,272.58亿,1.52万亿
488,930625,SHS互联网人民币,2773.45,0.40,2.95,2,CSI,24.53,估值较低,中证指数,11.12,2782.77,2745.88,0.00,1.09,33.68亿,983.10亿,10.13万亿
489,980021,碳中和50,2577.58,-1.29,2.95,0,SZ,28.68,估值较低,深证指数,-33.67,2619.95,2575.10,0.00,1.00,35.85亿,817.62亿,5.10万亿
490,480021,碳中和50R,2873.19,-1.29,2.95,0,SZ,28.68,估值较低,深证指数,-37.53,2920.42,2870.43,0.00,1.00,35.85亿,817.62亿,5.10万亿
491,399651,中小责任,1886.39,-0.48,2.95,0,SZ,24.11,估值较低,深证指数,-9.02,1896.10,1876.27,0.00,0.97,17.79亿,700.68亿,4.13万亿
492,801770,通信(申万),7685.30,1.24,2.94,62,SWI,60.86,估值中等,申万一级行业,93.80,7724.44,7480.69,0.00,1.09,45.95亿,2189.00亿,7.55万亿
493,399243,科研指数,1538.86,0.02,2.94,0,SZ,83.19,估值中等,深证指数,0.27,1542.85,1526.37,0.00,1.01,6.20亿,143.42亿,5274.97亿
494,931798,光伏龙头30,2414.26,-0.83,2.93,2,CSI,33.68,估值较低,中证指数,-20.12,2435.17,2392.73,0.00,0.96,24.15亿,471.69亿,1.67万亿
495,H30363,基本500,10122.70,0.02,2.92,2,CSI,33.96,估值较低,中证指数,1.96,10145.50,10043.16,0.00,1.03,188.56亿,5060.77亿,18.54万亿
496,399648,深证GDP,12973.59,-0.36,2.91,0,SZ,25.43,估值较低,深证指数,-46.65,13001.04,12870.76,0.00,1.09,72.85亿,2071.85亿,11.78万亿
497,H30365,文娱传媒,975.35,-0.40,2.91,2,CSI,46.78,估值较低,中证指数,-3.93,994.13,974.55,0.00,1.16,38.71亿,613.92亿,1.29万亿
498,399616,深证可选,6814.28,0.49,2.91,0,SZ,24.06,估值中等,深证指数,33.07,6870.03,6774.71,0.00,1.19,46.66亿,902.41亿,3.77万亿
499,931033,杭州湾区,1672.00,-0.21,2.91,2,CSI,21.81,估值较低,中证指数,-3.56,1677.43,1662.54,0.00,1.01,23.90亿,893.59亿,3.92万亿
500,H50015,沪西部,7123.87,-0.53,2.90,2,SH,21.46,估值较低,中证指数,-38.22,7154.25,7092.09,0.00,0.91,31.06亿,518.61亿,4.57万亿
501,H30042,AMAC食品,10921.45,-0.04,2.90,2,CSI,27.68,估值较低,中证指数,-3.91,10962.29,10867.37,0.00,0.86,10.55亿,139.66亿,9536.98亿
502,931235,中证电信,3198.60,1.51,2.89,2,CSI,31.33,估值中等,中证指数,47.66,3208.07,3113.57,0.00,1.12,28.73亿,1828.05亿,7.26万亿
503,399802,500深市,8394.71,-0.21,2.89,0,SZ,39.17,估值较低,深证指数,-17.64,8422.87,8315.92,0.00,1.02,127.40亿,3474.87亿,9.32万亿
504,399706,深证下游,5636.92,-0.30,2.88,0,SZ,28.35,估值较低,深证指数,-16.89,5677.54,5633.17,0.00,1.00,52.44亿,1311.93亿,7.57万亿
505,970065,深证优质信披,3438.83,-0.24,2.88,0,SZ,29.52,估值较低,深证指数,-8.18,3449.27,3416.35,0.00,1.01,179.21亿,6039.14亿,25.19万亿
506,470065,深证优质信披R,4198.33,-0.23,2.88,0,SZ,29.52,估值较低,深证指数,-9.56,4211.07,4170.89,0.00,1.01,179.21亿,6039.14亿,25.19万亿
507,801150,医药生物(申万),8119.87,-0.43,2.88,62,SWI,34.62,估值较低,申万一级行业,-34.97,8168.11,8102.11,0.00,0.99,62.95亿,1120.06亿,6.92万亿
508,931646,SHS新消费人民币,1614.48,-0.07,2.87,2,CSI,22.94,估值较低,中证指数,-1.19,1621.99,1605.43,0.00,0.95,19.05亿,678.99亿,9.13万亿
509,801210,社会服务(申万),8570.70,1.07,2.87,62,SWI,46.79,估值中等,申万一级行业,90.81,8573.11,8472.00,0.00,1.07,13.20亿,146.82亿,5453.36亿
510,931652,厦门指数,2662.39,-0.22,2.87,2,CSI,57.89,估值较低,中证指数,-5.79,2669.47,2642.15,0.00,0.98,7.54亿,256.25亿,7686.04亿
511,980026,风光装备,2078.79,-0.97,2.87,0,SZ,279.84,估值较低,深证指数,-20.28,2091.02,2060.51,0.00,1.07,20.07亿,532.08亿,1.98万亿
