序号,代码,名称,最新价 2026.05.08,涨跌幅(%) 2026.05.08,市净率PB(LF) 2026.05.08,市场码,市场名,市盈率(TTM) 2026.05.08,市盈率估值状态 2026.05.08,指数小类,涨跌额(元) 2026.05.08,最高价(元) 2026.05.08,最低价(元) 2026.05.08,换手率(%) 2026.05.08,量比 2026.05.08,成交量(股) 2026.05.08,成交额 2026.05.08,总市值(元) 2026.05.08
238,930997,新能源车,3463.62,-2.16,4.28,2,CSI,33.69,估值较低,中证指数,-76.45,3573.50,3460.59,0.00,0.98,28.85亿,1571.61亿,5.73万亿
239,000998,中证TMT,3584.50,-0.01,4.28,1,SH,43.26,估值较低,上证指数,-0.33,3585.61,3528.99,0.00,1.13,80.98亿,4739.30亿,18.40万亿
240,399020,创业小盘,2073.82,0.94,4.27,0,SZ,192.77,估值中等,深证指数,19.23,2075.99,2039.57,0.00,1.06,54.55亿,1328.53亿,2.63万亿
241,980086,创新药,2351.04,-1.71,4.27,0,SZ,62.28,估值较低,深证指数,-41.01,2392.32,2339.69,0.00,0.91,7.16亿,231.74亿,2.71万亿
242,399976,CS新能车,5091.13,-2.17,4.26,0,SZ,33.46,估值较低,深证指数,-112.76,5251.09,5086.67,0.00,0.98,28.94亿,1575.47亿,5.78万亿
243,399239,IT指数,2123.19,0.64,4.25,0,SZ,139.14,估值中等,深证指数,13.47,2147.08,2103.24,0.00,1.15,72.99亿,1477.08亿,3.19万亿
244,399641,深证新兴,3326.78,-0.57,4.25,0,SZ,38.23,估值较低,深证指数,-19.02,3346.37,3305.67,0.00,1.08,145.77亿,5716.25亿,20.48万亿
245,932088,全指航空,934.28,3.40,4.24,2,CSI,94.21,估值中等,中证指数,30.76,938.51,897.45,0.00,1.43,15.40亿,532.64亿,1.49万亿
246,H11052,智能电车,4597.44,-1.32,4.24,2,CSI,33.70,估值较低,中证指数,-61.69,4662.64,4593.90,0.00,0.98,26.06亿,1652.71亿,6.87万亿
247,970076,深证绿色化工,2028.73,-1.12,4.23,0,SZ,28.51,估值较低,深证指数,-23.03,2056.23,2018.93,0.00,0.95,16.30亿,596.87亿,3.59万亿
248,470076,深证绿色化工R,2312.59,-1.12,4.23,0,SZ,28.51,估值较低,深证指数,-26.26,2343.93,2301.42,0.00,0.95,16.30亿,596.87亿,3.59万亿
249,930875,空天一体,2616.19,2.21,4.23,2,CSI,77.34,估值中等,中证指数,56.48,2621.10,2534.42,0.00,1.41,14.33亿,503.69亿,1.81万亿
250,930726,CS生医,2407.13,-1.28,4.22,2,CSI,51.06,估值较低,中证指数,-31.19,2441.08,2404.65,0.00,1.04,4.92亿,218.45亿,2.06万亿
251,970058,深证民企治理,2384.22,0.48,4.20,0,SZ,35.59,估值中等,深证指数,11.46,2393.61,2347.58,0.00,1.07,27.81亿,1506.03亿,6.95万亿
252,470058,深证民企治理R,2609.34,0.48,4.20,0,SZ,35.59,估值中等,深证指数,12.54,2619.62,2569.24,0.00,1.07,27.81亿,1506.03亿,6.95万亿
